,place,confidence
207,포항핫플 ,0.974612
208,유자에이드 살구자두에이드 하트단무지 단무지맛집 오늘도 와와반점 ,0.412824
209,대구카페,0.778452
210,대구,0.288888
211,10kg 이상 강아지는 출입불가 12세미만 아동도 출입불가,0.286934
212,대관문,0.475291
213,거제오닐 ,0.558037
214,10월달만 케어키즈존 이라길래 서윤이 하원시켜서 1시간을 달려서 다녀옴 음료가격은 넘나 사악하지만 한번쯤 가볼만한곳 사진찍기 좋았음 내년에도 도전하자 성주카페 리베볼,0.225418
216,제주살이 ,0.377466
217,요리주점 ,0.472479
218,파주 백소정 운정와이즈병원 ,0.710685
220,경기남부가정위탁지원센터,0.931854
221,양주카페 플레이스지안,0.540946
223,성석동카페 ,0.936854
224,커피산 노키즈존 ,0.179080
225,공감선유 ,0.548202
226,성동구에 위치한 어린이들을 환영하는 웰컴키즈존을 소개해 드리려고 합니다 노노키즈존팀이 직접 방문하여 확인한 웰컴키즈존을 카드뉴스로 확인해보세요 성동문화재단 다양성동 문화다양성 다양성 다양성동청년기획단 다양성동프로젝트 노노키즈존 노키즈존 웰컴키즈존 성동 성동구 ,0.353522
227,뛰쳐나가고 싶은 날씨 아샷추 아이스티 샷추가우리공듀 코 닮앗 mungdeng kaka ,0.240265
228,일산까페,0.919566
229,대구 마고플레인 ,0.628395
230,청명한 가을하늘,0.310228
231,볼가심커피 ,0.332388
232,포메스타그램,0.692479
233,용인애견카페 ,0.418535
234,오픈 잔디밭,0.206439
235,윙봉치킨 ,0.421315
236,오늘하루만이야,0.275269
237,에버랜드 ,0.993290
238,에버랜드 ,0.991783
239,프라이빗 피로연 결혼식 씨앗호떡,0.752939
240,벨라 풀밭,0.536714
242,대관문,0.922290
243,남해,0.665012
244,황리단길카페 ,0.267640
245,은평한,0.481020
246,포천 포천카페 숨 카페숨 포천카페추천 낭만 포천,0.621293
247,고양이카페 ,0.457392
249,부안,0.469518
250,제주애월맛집 제주도민맛집 ,0.572897
251,테라스 루프탑 ,0.482331
252,예약필수 요리주점 ,0.497083
253,루프탑,0.651296
254,노란집에서 차로 6분 거리,0.415998
255,경남 창녕군 성산면 구례동길 20 ,0.305315
256,여름날강아지 ,0.212160
257,충주호 충주캠핑장 더쉼캠핑장 호수뷰 개인화장실 ,0.529169
258,기장장안 도토리까페 갤러리분위기카페 ,0.591329
259,어린이집,0.736089
260,노키즈존 이럴때가보자,0.676746
261,노키즈존,0.418495
262,햅삐할로윈 ,0.544981
263,카페주평이 임시휴무,0.395984
264,제주,0.964780
265,분당 ,0.375665
266,은평구카페 ,0.328142
267,일본,0.913645
268,제주도,0.977528
269,우리집 ,0.492352
271,요리주점 ,0.315838
272,애견카페 멍스크로스 mungs cross 봉담애견카페 화성애견카페 수원애견카페 서울애견카페 서율근교애견카페 안산애견카페 오산애견카페 동탄애견카페 평택애견카페 용인애견카페 ,0.337808
273,대관문,0.545784
274,오전 10시30 오후1시에 문닫는 점심장사만함 ,0.238110
275,수준치아바타샌드,0.472442
276,빵사러 ,0.570177
277,온의동닭갈비거리 유림닭갈비 골목길,0.346887
278,안성카페 1층 키즈존 2층 ,0.315217
279,대관문의 ,0.477785
280,댕댕이천국 뛰뛰천국,0.248859
281,3333333333333 ,0.479601
282,김포카페 ,0.997643
283,일본 일본 일본,0.394295
284,성내공영주차장,0.578504
285,카페 ,0.307868
286,여름날강아지 ,0.413665
287,청주카페 월오동카페 ,0.580151
288,영광여행 카페보리 ,0.453757
289,경주월드카페 ,0.282844
290,에스프레소 종류 월요일 화요일 휴무 ,0.498282
291,창경궁 ,0.914694
292,애견식당 ,0.389647
293,Happy croffle ,0.210562
294,대관문,0.488481
295,전주,0.524933
296,경기 동두천시 천보산로 567 12 니지모리스튜디오매일 11 00 21 30 입장마감 시간 오후 8시 영업마감 21시 30분 니지모리 입장료는 1인 2만원만 19세 이상 성인만 입장 가능,0.379240
297,틴더타운,0.795785
298,혁신도시카페 ,0.544522
299,브리시티가든스튜디오 ,0.695863
300,수나로이 ,0.348458
301,콩순이미안 ,0.701832
302,오오티디 예쁜카페 ,0.424879
303,온의동닭갈비거리 유림닭갈비 골목길,0.531355
304,홀리가든 홀리가든카페 ,0.162592
305,포메스타그램,0.575717
307,용인애견카페 오픈중 노키즈존 댕댕이들이행복한그날까지 애견카페추천 애견놀이터 댕댕이천국 뛰뛰천국,0.145732
308,전화하는곳마다 ,0.611937
309,미트파이 ,0.711898
310,치앙마이가자,0.762586
311,모나카,0.406603
312,여름날강아지 10월 17일 월 12시 ,0.172324
313,모든 사람이 같지 않다는 것은이미 모두 알고 있는 일이지만가끔 이런 일은 조금 씁쓸하긴 합니다 그래도 다행스럽게 아기를 키우면서좋은 사람들을 더 많이 만났던 것 같아요 그래도 노키즈면 ,0.119692
314,양떼목장갓다가 ,0.305741
315,인천 ,0.731294
316,분당,0.526662
317,이천도깨비셀프바베큐 펫존 키즈존 노키즈존 노펫존 애견동반식당 이천캠핑식당 이천야외식당,0.232530
318,프라이빗 피로연 ,0.429186
319,nonameokgae ,0.401090
320,황리단길,0.739729
321,한남동바 ,0.569379
322,성주카페 리베볼 ,0.198233
323,카페 숲속카페 아스텔 2층 ,0.499363
324,희귀식물카페 쁘띠쟈뎅 식물카페 르쁘띠쟈뎅 ,0.453070
325,대관문,0.757533
326,2층,0.982417
327,카페 밀마 ,0.651014
328,너그러운 이해 부탁드립니다,0.582053
329,노을이 옷 뺏어 입혀서 늘려주기퀭해도 귀엽네,0.296505
330,대관문,0.474047
331,대관문,0.539403
332,포토존,0.812498
333,온의동닭갈비거리 유림닭갈비 골목길,0.382162
334,가곡맛집 빵,0.322689
335,에버랜드 ,0.992542
336,메종드멜라 브런치카페 예쁜카페추천 잠봉뵈르맛집 ,0.169450
337,에르메스캠핑장 사이트넓은캠핑장 ,0.485267
338,요리주점 ,0.379972
339,여름날강아지 10월16일 일 10시오픈,0.207838
340,오프더커프 ,0.610278
341,제주 제주시 한경면 신한로 183 160507 1314 3855,0.708955
342,초량1941 ,0.840095
343,똥손 포토존,0.132479
344,핑크 댕댕이 ootd 대관문,0.304170
345,2층,0.981004
346,루프탑 ,0.966748
347,핑크 댕댕이 ootd 대관문의 ,0.470206
348,베이커리천재 동탄카페 예쁜카페 ,0.408060
349,팔공산 헤이마 HEIMA 2층 ,0.909481
350,할로윈 포토존 ,0.582346
351,자유부인 존맛탱 foodstagram 오늘뭐먹지 푸드스타그램,0.149555
353,단양,0.995623
354,강릉 강문애 엔트투앤드 가을 분위기가 물씬 갈대밭 사진은 패스 강릉 ,0.219699
355,요리주점 ,0.749256
356,에버랜드 ,0.989840
357,대관문,0.517994
358,온의동닭갈비거리 유림닭갈비 골목길,0.434393
359,김포카페투어 ,0.448505
360,여름날강아지 ,0.260662
361,신부동 동은언니랑 평일데이트 ,0.404153
362,이태원 ,0.920820
363,카페 ,0.410277
364,경기 포천시 소흘읍 죽엽산로 502 61,0.337421
365,용인 ,0.746577
366,서울숲 ,0.454058
367,광안리예쁜카페 카페스타그램 ,0.814384
368,밀양 아메리카노맛집 커피맛집 바래미바네사 핫플 ,0.252740
369,2022년 말말말 인권 서포터즈식당 까페,0.403307
370,매장앞,0.212924
371,어린왕자감귤밭 도떼기시장 ,0.529570
372,One fine day Nowhere But Here,0.392031
373,요리주점 ,0.329201
374,우리담엔 더재밌는곳,0.288515
375,수원,0.410983
376,원주달항아리 원주카페 ,0.634999
378,할로윈 포토존 ,0.668556
379,바닷가카페,0.522099
380,도토리카페 ,0.516742
381,행구동 카페 ,0.200661
382,예약필수 요리주점 ,0.468700
383,한강,0.898376
384,온의동닭갈비거리 유림닭갈비 골목길,0.572063
385,온량 ,0.411574
386,아기가있는집 공원산책 그릭요거트 ,0.334940
387,용인애견카페 ,0.261518
388,궐리단길 ,0.780587
389,여름날강아지 10월14일 금 12시 오픈때로는 프레임을 벗어나 보는 것도 기분전환을 할 수 있는 한 방법입니다 벗어나보면 새로운 모습을 발견할 수도 있을 거예요 얼마 전에 중성화한 생강점장,0.204058
390,거제핫플 심해 가서 잠깐 2 30분 쉬다가 구미로출발 핫플좀 가보려 했더니 내욕심 이였는지 엎드려있는 우리딸 보니 괜히 미안하고 안쓰럽3층,0.618629
391,태리주택 ,0.701523
392,가오픈때부터 가보고 싶었던 카페수나로이가을,0.510217
393,거제,0.652603
394,다녀옴모츠나베에 하이볼 꼬치는 사랑평생 술 친구 있어 나 행복한 거 맞지 낼 운동 두 배로 하자 11자 복근 나오다 들어감웃프네 모츠나베 하이볼 동네맛집 ,0.702756
395,안간다안,0.199262
396,루프탑 ,0.796825
397,어린이 노키즈존,0.292375
398,경기광주 ,0.913895
399,경기광주 ,0.904798
400,경기광주 ,0.906498
401,경기광주 ,0.913491
402,경기광주 ,0.910267
403,할로윈컨셉 행리단길 태리주택 ,0.476550
404,거제면카페 거제카페 ,0.331006
405,부산,0.399164
406,서놀기 까페,0.137457
407,식물원 루프탑 ,0.775188
408,애견동반카페 ,0.366157
409,춘천 애막골술집 애막골 피로연전문 결혼식뒷풀이 안주맛집 춘천맛집 분위기좋은술집 예쁜술집 예술관 애막골맛집 룸술집 한식요리사 춘천최고맛집 룸예약 안주최고 프라이빗 룸포차 카페같은술집 룸술집 예쁜룸술집 애막골룸술집 예약필수 요리주점 ,0.345317
410,카페,0.385098
412,용인애견카페 ,0.398395
413,용인애견카페 ,0.237344
414,요거슨 BTS랑 세븐틴이랑 무대설때 있던 회전목마,0.224973
415,용인애견카페 ,0.206056
416,태리주택 행궁동맛집 ,0.808475
417,노키즈존,1.000000
418,카페,0.950336
419,청와대,0.198962
420,대관문,0.586386
421,반려견존모두 갖춰져있구 ,0.288066
422,Bistro Gusto,0.902966
423,원주달항아리 원주카페 ,0.809563
424,성동문화재단 ,0.477834
425,대관문,0.431861
426,멍스크로스오늘 날씨도 좋고 기분도 좋은 오픈 완료친규들은 뛰뛰 준비 완료 애견카페 멍스크로스 mungs cross 봉담애견카페 화성애견카페 수원애견카페 서울애견카페 서율근교애견카페 안산애견카페 오산애견카페 동탄애견카페 평택애견카페 용인애견카페 ,0.473742
427,여름날강아지 10월13일 목 12시 오픈,0.330483
428,야외로 바람쐬고 사진찍기에 좋았던 곳 ,0.469250
429,In the Hannam ,0.322586
430,In the Hannam Dto Prepare a Grilled Octopus ,0.505795
431,mung guy ,0.468144
432,대형카페 ,0.540849
433,제주도 ,0.267814
434,정읍 정원카페 전북 민간정원 3호 제이포렛 ,0.266956
435,원주달항아리 원주카페 ,0.879039
436,여수 소호동 힐튼 아니고 힐론 힐론카페 신상카페 시골바이브 신상러 시오빵 맛나요 카페스타그램 물뷰 대나무뷰 지붕뷰 지하,0.375595
437,제주스시 보통 스시집,0.958007
438,헤이마포인트,0.965544
439,하남카페,0.792285
440,Corn Crunch Cookie,0.732332
441,성수 핫한동네 ,0.528024
442,옥수수 크런치쿠키할매입맛 주인장 취향에 맞춰 옥수수 디저트가 새로나왔어요 커피랑도 잘어울리지만 라떼랑 특히 어울리고 바삭한 식감의 쿠키에 고소한 옥수수 시리얼이 들어있는 재밌는 쿠키,0.382362
444,용산구 한남대로20길 61 2층 한남동 32 25 2층,0.450443
445,용산구 한남대로20길 61 2층 한남동 32 25 2층,0.671957
446,도시 전체,0.418050
447,대관문의 ,0.539309
448,장안사카페 장안사맛집 ,0.442027
449,제주도 ,0.813238
450,야외 본관 3층 ,0.340543
451,몽글몽글 크림,0.777373
452,경주여행중 황리단길 경주카페 ,0.374244
453,인스타그램 SNS 카드뉴스 블로그 ,0.934394
454,식당카페,0.979405
455,서울,0.683050
456,먼지와 나리,0.532897
457,G4Sq ,0.290712
458,도시 공간에 흐르는 아동 혐오를 가장 적나라하게 드러내는 장소 ,0.409304
459,엔드투앤드 갈대밭카페 ,0.434522
460,에스프레소 테라스 ,0.936267
461,출산율 장애인학교 백화점 ,0.455610
462,91 an 구름이의 개인기 빠 앙 졸귀탱,0.254246
463,비바람 나뭇잎지옥 도토리 늘솔길캠핑촌 ,0.296044
464,요리주점 ,0.545800
465,완연한 가을이라고 하기엔 바람이 너무 차네요환절기 감기 조심하시구요 화 수요일은 정기휴무일,0.154585
467,부산바다뷰카페 에스프레소바 ,0.416304
468,seoul 서울핫플 잠실bar,0.461916
469,강릉,0.695657
470,아보고가 카페,0.361733
471,제주,0.967126
472,틴더타운 ,0.525099
473,집 가는길에 아메리카노가 너무너무 먹구싶어서 찻길 바로옆에있던 카페 ,0.564297
474,온의동닭갈비거리 유림닭갈비 골목길,0.365510
475,대관문,0.535778
476,용인애견카페 오픈중 ,0.222041
477,여름날강아지 ,0.426935
478,인천,0.559349
479,인천,0.656199
480,인천,0.452109
481,인천,0.569916
482,원주,0.540498
483,비오는날 ,0.278841
484,2층테라스 그렇게 이쁘더만 천천히 사진찍으며 수다떨고 싶었던곳 ,0.282819
485,인피니티풀둘이서 호다닥 놀고 사진찍고 사우나,0.115417
486,나아정캠핑장 ,0.970055
487,7세미만아동입장불가,0.289662
488,카페보리 노키즈존 예스연인존,0.463748
489,2층과 연결된 정원은 키즈존 3층과 루프탑층,0.415825
490,할로윈평상시엔 노키즈존이라 예진이 데리고 못갓던 카페할로윈시즌,0.264608
491,성주리베볼 ,0.789870
492,디딤돌에 니발자국흔들렸지만 너무귀여우니까,0.315090
493,대구 성주카페 성주리베볼 ,0.507837
494,서울근교카페 ,0.799864
495,투샷,0.379040
496,춘천 리버레인 뷰맛집 ,0.871210
497,와와반점 ,0.442583
498,2층,0.903841
499,경주 시간잘못맞춤 주차할곳없음 ,0.422249
500,아가사진 ,0.482070
501,인스타그램으로 소통하는 나우니스,0.250027
502,여름날강아지 ,0.380451
503,선재도여행 선재도카페,0.568787
505,꿀밤아이스크림,0.878664
506,영종도,0.661189
507,호떡크로플,1.000000
508,카페 ,0.355562
509,온의동닭갈비거리 유림닭갈비 골목길,0.464330
510,에버랜드 ,0.987838
511,남양주 에서 꽤 알려진 곳2층,0.576913
512,부평카페 카페소삼 ,0.697761
513,스키즈존,0.348843
514,차없는거리 ,0.930009
515,아이스아메리카노 먹었더니 금니가 시리네,0.417345
516,양주카페 ,0.210735
517,봉황동 ,0.748968
518,노키즈존 ,0.161617
519,대관문의 노키즈존 포메스타그램,0.359741
520,여긴 동두천 ,0.158017
521,티파니애견카페 ,0.955862
522,장안읍 도토리베이커리카페 노키즈존 노펫존 기장베이커리 기장도토리 기장카페 ,0.148611
523,속초펜션 ,0.785153
524,비오는날 따뜻한 커피,0.524995
525,핑크 댕댕이 ootd 대관문,0.209579
526,용산구 한남대로20길 61 2층 한남동 32 25 2층,0.732540
527,삼청동,0.968984
528,에버랜드 ,0.996060
529,비엔나커피,0.752243
530,성내공영주차장,0.632466
531,여름날강아지 ,0.122447
532,용산구 한남대로20길 61 2층 한남동 32 25 2층,0.754489
533,노성산 ,0.561835
534,아이들이 때문에 못들어감 여기는 ,0.319614
535,2 3층,0.967164
536,모델견 셀카 셀스타그램,0.327981
537,1층은 키즈존 2 3층,0.441863
538,볼가심커피 ,0.677712
539,볼가심커피 ,0.438967
540,제주 제주시 구좌읍 구좌해안로 141 ,0.401861
541,님율이는 사진보다 실물이백배천배훨씬잘생김 핸드폰이이상한가 지우야감기언넝나아율아오늘태리랑놀아줘서고마웡우리담에같이또놀자,0.159275
542,대관문,0.561386
543,떡볶이,0.262333
544,카페카페,0.338412
545,온의동닭갈비거리 유림닭갈비 골목길,0.526668
546,포메스타그램,0.363112
547,멜버른 ,0.817723
548,자연캠핑 ,0.158594
549,온의동닭갈비거리 유림닭갈비 골목길,0.614645
550,날좋은 토요일 ,0.256925
551,용리단길카페 핍스홈 ,0.245901
552,용인애견카페 ,0.197526
553,영종어메이징대디 영종도,0.254983
554,인절미 크로플,0.519690
555,에버랜드 ,0.987711
556,여름날강아지 10월8일 토 10시 오픈연휴의 시작이네요 ,0.149194
557,ltmd ,0.934021
558,큐티폴고아커트러리,0.376302
559,할머니랑 할아버지랑 엄마랑 유나랑 고매커피 갔는데 ,0.731502
560,심쿵주의,1.000000
561,대관문,0.643194
563,동두천 ,0.223904
564,김포 ,0.519807
565,제주 ,0.285322
566,구월동 ,0.671739
567,대전 ,0.638912
568,포메스타그램,0.595079
569,온의동닭갈비거리 유림닭갈비 골목길,0.608391
570,yejeonglee89 newnahdaily gahee luck 자유부인 애셋맘들 노키즈존 밤열두시귀가,0.316948
571,오세용 카페 카페맛집 멍스타그램,0.293741
572,용인애견카페 ,0.281141
573,대관문,0.597930
574,제주도,0.322567
575,용인애견카페 ,0.353506
576,에버랜드 ,0.993967
577,정관핫플 ,0.976273
578,여름날강아지 10월7일 금 12시 오픈,0.307452
579,기장대변항 제이엠커피로스터스 본점 ,0.397729
580,금오산 금리단길맛집 낚였다그램부지런한 손길의 스며듦으로 채워진 공간 부모님생각나는곳 내일도갈예정 야생화정원 꽃차카페 가래떡구이 우리애가좋아해요 노키즈존 우리애는키즈 촌집 뽐뿌온다,0.226372
581,오브레멘 ,0.351158
582,노가리 ,0.868757
583,가천국 ,0.942947
584,이쁜 우리아가들 사랑둥이 겸둥이 ,0.304985
585,앤팩토리까페 ,0.881046
586,바이사이드 통영카페 통영이색카페 ,0.596763
587,핑크 댕댕이 ootd 대관문,0.266733
588,에버랜드 ,0.989884
589,속초핫플레이스 bbqmaster 타이거맥주 발베니 위스키하이볼 투쁠한우 투쁠나인 채끝살 오겹살 고기주점 ,0.257128
591,대관문,0.443634
592,여긴 13년후에나 올 수 있는건가 ,0.176783
