가게이름,가게종류,별점,후기 개수,후기 링크,리뷰 개수,리뷰 링크,주소,지번주소,운영시간,가게 상세보기,가게 전화번호,가게 URL(M과비슷),SNS/웹 홈페이지
카페록록,카페,(30),후기 미제공,no_link,리뷰 255,https://place.map.kakao.com/292093583#review,제주특별자치도 제주시 구좌읍 하도서문길 41 1층,(지번) 구좌읍 하도리 1890-2,"영업시간 월,화,수,목,토,일 10:30 ~ 18:00",https://place.map.kakao.com/292093583?openhour=1,064-782-0714,https://place.map.kakao.com/292093583,https://www.instagram.com/cafeloklok_jeju_official/
테라스478,카페,3.2,68건,https://place.map.kakao.com/117256977#comment,리뷰 325,https://place.map.kakao.com/117256977#review,경기 용인시 수지구 고기로 478,(지번) 고기동 223-3,매일 10:00 ~ 20:30,https://place.map.kakao.com/117256977?openhour=1,070-7576-4781,no_link,
그래픽,서점,3.8,24건,https://place.map.kakao.com/841948936#comment,리뷰 45,https://place.map.kakao.com/841948936#review,서울 용산구 회나무로39길 33,(지번) 이태원동 258-166,화~일 13:00 ~ 23:00,https://place.map.kakao.com/841948936?openhour=1,070-4070-0204,no_link,https://www.instagram.com/graphic.fan/
시즈닝,양식,3.6,111건,https://place.map.kakao.com/19454026#comment,리뷰 488,https://place.map.kakao.com/19454026#review,경북 경주시 첨성로99번길 25-2 1층,(지번) 황남동 229-27,"월,수,목,금,토,일 10:30 ~ 21:30 · 브레이크타임 월,수,목,금,토,일 15:30 ~ 17:00",https://place.map.kakao.com/19454026?openhour=1,054-774-7477,no_link,http://www.instagram.com/__seasoning/
정지영커피로스터즈 화홍문점,커피전문점,3.3,33건,https://place.map.kakao.com/130722809#comment,리뷰 284,https://place.map.kakao.com/130722809#review,경기 수원시 팔달구 수원천로 375,(지번) 북수동 33-7,매일 12:00 ~ 22:00,https://place.map.kakao.com/130722809?openhour=1,상세보기,https://place.map.kakao.com/130722809,https://www.instagram.com/jungjiyoungcoffee/
작당모의,카페,(30),후기 미제공,no_link,리뷰 351,https://place.map.kakao.com/500916307#review,"서울 마포구 동교로32길 19 1층 101,102호",(지번) 연남동 381-15,매일 12:00 ~ 21:00,https://place.map.kakao.com/500916307?openhour=1,070-8838-3815,https://place.map.kakao.com/500916307,http://www.instagram.com/zakdangmoi
온량,양식,3.8,108건,https://place.map.kakao.com/660238920#comment,리뷰 312,https://place.map.kakao.com/660238920#review,서울 송파구 백제고분로43길 4 은혜빌딩 1층,(지번) 송파동 47,매일 12:00 ~ 21:00,https://place.map.kakao.com/660238920?openhour=1,02-422-3642,no_link,https://instagram.com/onryang_restaurant
오린지,디저트카페,3.1,89건,https://place.map.kakao.com/1030591315#comment,리뷰 329,https://place.map.kakao.com/1030591315#review,서울 송파구 송파대로48길 19 1층,(지번) 송파동 30-9,월~토 12:00 ~ 22:00,https://place.map.kakao.com/1030591315?openhour=1,상세보기,https://place.map.kakao.com/1030591315,https://www.instagram.com/oh_linzi/
그집곱도리탕,닭요리,3.3,40건,https://place.map.kakao.com/1282749613#comment,리뷰 539,https://place.map.kakao.com/1282749613#review,부산 부산진구 동천로107번길 17,(지번) 부전동 142-4,월~토 11:00 ~ 21:20 · 브레이크타임 월~토 15:00 ~ 17:00,https://place.map.kakao.com/1282749613?openhour=1,051-816-4186,no_link,https://kobdorisg.modoo.at
카린,카페,3.5,33건,https://place.map.kakao.com/1821160303#comment,리뷰 41,https://place.map.kakao.com/1821160303#review,부산 영도구 청학동로 16,(지번) 청학동 148-121,매일 12:00 ~ 22:00,https://place.map.kakao.com/1821160303?openhour=1,051-413-8718,no_link,http://caringlasses.com/YDL.html
엘리브,카페,3.0,11건,https://place.map.kakao.com/1181055498#comment,리뷰 243,https://place.map.kakao.com/1181055498#review,"경남 창원시 성산구 귀산로 19 2,3층",(지번) 귀산동 466-3,매일 10:30 ~ 01:00,https://place.map.kakao.com/1181055498?openhour=1,055-274-7003,no_link,
리베볼,카페,(30),후기 미제공,no_link,리뷰 312,https://place.map.kakao.com/1292430125#review,경북 성주군 수륜면 덕운로 1433,(지번) 수륜면 백운리 514,"영업시간 월,화,목,금 11:00 ~ 18:00",https://place.map.kakao.com/1292430125?openhour=1,010-4434-2018,https://place.map.kakao.com/1292430125,https://www.instagram.com/liebevoll_art/
와이드커피스탠드,카페,4.5,63건,https://place.map.kakao.com/172464796#comment,리뷰 404,https://place.map.kakao.com/172464796#review,전남 여수시 고소3길 64 1~4층,(지번) 중앙동 109-2,매일 12:00 ~ 22:00,https://place.map.kakao.com/172464796?openhour=1,상세보기,https://place.map.kakao.com/172464796,https://www.instagram.com/wyd_coffeestand/
공감선유,카페,4.2,27건,https://place.map.kakao.com/1986275976#comment,리뷰 128,https://place.map.kakao.com/1986275976#review,전북 군산시 옥구읍 수왕새터길 55,(지번) 옥구읍 수산리 523,영업시간 매일 10:00 ~ 18:00,https://place.map.kakao.com/1986275976?openhour=1,063-468-5500,no_link,
PKM갤러리,미술관,3.4,22건,https://place.map.kakao.com/1542000520#comment,리뷰 43,https://place.map.kakao.com/1542000520#review,서울 종로구 삼청로7길 40,(지번) 삼청동 157-83,영업시간 화~토 10:00 ~ 18:00,https://place.map.kakao.com/1542000520?openhour=1,상세보기,https://place.map.kakao.com/1542000520,https://www.pkmgallery.com/
으뜨미식당,한정식,(30),후기 미제공,no_link,리뷰 114,https://place.map.kakao.com/550011314#review,제주특별자치도 제주시 구좌읍 중산간동로 2287 1층,(지번) 구좌읍 송당리 1398-6,휴무일 목요일,https://place.map.kakao.com/550011314?openhour=1,064-784-4820,https://place.map.kakao.com/550011314,
카페다루지,카페,3.6,27건,https://place.map.kakao.com/15100118#comment,리뷰 124,https://place.map.kakao.com/15100118#review,인천 강화군 길상면 마니산로 254-36,(지번) 길상면 선두리 101-5,"영업시간 월,화,목,금 09:00 ~ 19:00",https://place.map.kakao.com/15100118?openhour=1,032-937-0323,no_link,
카페다우리,커피전문점,4.6,28건,https://place.map.kakao.com/600079565#comment,리뷰 140,https://place.map.kakao.com/600079565#review,충북 단양군 대강면 선암계곡로 165,(지번) 대강면 방곡리 367-1,"영업시간 월,화,목,금,토,일 11:00 ~ 19:00",https://place.map.kakao.com/600079565?openhour=1,010-6516-9090,no_link,http://instagram.com/dawoory043
일광숲카페,카페,4.0,21건,https://place.map.kakao.com/977494411#comment,리뷰 18,https://place.map.kakao.com/977494411#review,부산 기장군 일광읍 학리등대로 45,(지번) 일광읍 학리 260-2,매일 10:30 ~ 22:00,https://place.map.kakao.com/977494411?openhour=1,상세보기,https://place.map.kakao.com/977494411,https://www.instagram.com/_soop_cafe/
즐거운맛돈까스 (휴업중),"돈까스,우동",4.1,157건,https://place.map.kakao.com/928032894#comment,리뷰 166,https://place.map.kakao.com/928032894#review,서울 동대문구 왕산로 15-1 2층,(지번) 신설동 76-36,영업시간 화~토 11:30 ~ 14:00,https://place.map.kakao.com/928032894?openhour=1,02-997-9789,no_link,https://cafe.naver.com/kinmot
체리커피,커피전문점,3.2,57건,https://place.map.kakao.com/1755713937#comment,리뷰 164,https://place.map.kakao.com/1755713937#review,서울 광진구 능동로 284,(지번) 능동 282-1,매일 09:00 ~ 23:00,https://place.map.kakao.com/1755713937?openhour=1,02-444-7222,no_link,https://cherrycoffee.co.kr/
배양장,카페,3.8,24건,https://place.map.kakao.com/2012245745#comment,리뷰 273,https://place.map.kakao.com/2012245745#review,경남 통영시 산양읍 함박길 51,(지번) 산양읍 풍화리 1430-1,"영업시간 월,수,목,금,토,일 11:00 ~ 19:00",https://place.map.kakao.com/2012245745?openhour=1,상세보기,https://place.map.kakao.com/2012245745,https://www.instagram.com/baeyangjang/
그린노마드,커피전문점,3.8,34건,https://place.map.kakao.com/1371484625#comment,리뷰 179,https://place.map.kakao.com/1371484625#review,부산 수영구 좌수영로 161-10,(지번) 망미동 198-15,매일 12:00 ~ 23:00,https://place.map.kakao.com/1371484625?openhour=1,070-4222-5682,no_link,https://instagram.com/greennomad_
슈발츠발트,카페,4.4,55건,https://place.map.kakao.com/1722480008#comment,리뷰 154,https://place.map.kakao.com/1722480008#review,부산 수영구 민락본동로19번길 36-11,(지번) 민락동 24-20,목요일,https://place.map.kakao.com/1722480008?openhour=1,상세보기,https://place.map.kakao.com/1722480008,https://www.instagram.com/schwarz_wald_/
플레이스지안,카페,4.3,27건,https://place.map.kakao.com/680236397#comment,리뷰 162,https://place.map.kakao.com/680236397#review,경기 양주시 백석읍 중앙로 164-22 플레이스 지안,(지번) 백석읍 오산리 58-4,영업시간 매일 11:00 ~ 19:00,https://place.map.kakao.com/680236397?openhour=1,031-874-6422,no_link,https://instagram.com/place.jian
풍세커피,커피전문점,(30),후기 미제공,no_link,리뷰 142,https://place.map.kakao.com/1177750370#review,충남 천안시 동남구 풍세면 한우물2길 90 2동 1층,(지번) 풍세면 용정리 764-19,상세보기,https://place.map.kakao.com/1177750370,070-7778-8125,http://www.pungsecoffee.com,
뀌숑,양식,2.7,69건,https://place.map.kakao.com/21553852#comment,리뷰 108,https://place.map.kakao.com/21553852#review,경기 성남시 분당구 판교역로14번길 16,(지번) 백현동 578-2,매일 11:30 ~ 22:00,https://place.map.kakao.com/21553852?openhour=1,031-8017-9793,no_link,https://instagram.com/cuisson_2013
트라인커피,카페,4.3,69건,https://place.map.kakao.com/1363724318#comment,리뷰 117,https://place.map.kakao.com/1363724318#review,제주특별자치도 제주시 조천읍 와흘상길 32,(지번) 조천읍 와흘리 1908,"수,목요일 휴무",https://place.map.kakao.com/1363724318?openhour=1,010-4198-9794,no_link,https://www.instagram.com/trinecoffee
그집곱도리탕 본점,한식,2.4,44건,https://place.map.kakao.com/1735869249#comment,리뷰 502,https://place.map.kakao.com/1735869249#review,부산 중구 충장대로5번길 56-2,(지번) 중앙동4가 78-4,월~금 11:00 ~ 21:30,https://place.map.kakao.com/1735869249?openhour=1,051-807-5564,no_link,
방코,피자,3.6,21건,https://place.map.kakao.com/1514387406#comment,리뷰 193,https://place.map.kakao.com/1514387406#review,"부산 강서구 새진목길 51 1,2층",(지번) 명지동 3174-15,화~일 11:30 ~ 20:30 · 브레이크타임 화~일 14:30 ~ 17:00,https://place.map.kakao.com/1514387406?openhour=1,051-271-2068,no_link,http://www.instagram.com/banco_bong
카페우즈,카페,3.4,23건,https://place.map.kakao.com/248693242#comment,리뷰 311,https://place.map.kakao.com/248693242#review,경기 여주시 점봉길 66,(지번) 점봉동 198-4,영업시간 월~금 12:00 ~ 18:00,https://place.map.kakao.com/248693242?openhour=1,상세보기,https://place.map.kakao.com/248693242,https://www.instagram.com/cafe.woods/
카페 동백,카페,4.0,28건,https://place.map.kakao.com/1208953462#comment,리뷰 58,https://place.map.kakao.com/1208953462#review,제주특별자치도 제주시 조천읍 동백로 68,(지번) 조천읍 선흘리 922,영업시간 화~토 11:00 ~ 18:00,https://place.map.kakao.com/1208953462?openhour=1,상세보기,https://place.map.kakao.com/1208953462,https://instagram.com/cafedongbaek_jeju
골목카페옥수,카페,3.3,72건,https://place.map.kakao.com/481425144#comment,리뷰 183,https://place.map.kakao.com/481425144#review,제주특별자치도 제주시 애월읍 소길1길 19 1층,(지번) 애월읍 소길리 652-1,"영업시간 월,화,수,목,토,일 11:00 ~ 19:00",https://place.map.kakao.com/481425144?openhour=1,상세보기,https://place.map.kakao.com/481425144,https://www.instagram.com/jejucafe_oksu
도자기별,카페,3.8,42건,https://place.map.kakao.com/707546058#comment,리뷰 119,https://place.map.kakao.com/707546058#review,"강원 고성군 토성면 토성로 68 2,3층",(지번) 토성면 봉포리 189,목요일 휴무,https://place.map.kakao.com/707546058?openhour=1,0507-1324-0853,no_link,https://www.instagram.com/dojagibyeol/
그라운드헤븐패밀리,커피전문점,3.7,10건,https://place.map.kakao.com/1778068341#comment,리뷰 182,https://place.map.kakao.com/1778068341#review,경남 진주시 대신로 626-11 1층,(지번) 초전동 1230-4,055-758-2231,https://place.map.kakao.com/1778068341,055-758-2231,https://place.map.kakao.com/1778068341,https://instagram.com/ground.heaven
대가방 압구정점,중국요리,3.9,35건,https://place.map.kakao.com/12387446#comment,리뷰 30,https://place.map.kakao.com/12387446#review,서울 강남구 논현로175길 64,(지번) 신사동 549-8,월~토 11:30 ~ 21:30 · 브레이크타임 월~금 15:00 ~ 17:00,https://place.map.kakao.com/12387446?openhour=1,02-546-6331,no_link,http://www.daegabang.co.kr
다람쥐식탁,일식집,3.6,45건,https://place.map.kakao.com/298902686#comment,리뷰 177,https://place.map.kakao.com/298902686#review,제주특별자치도 제주시 한림읍 명월성로 10 1층,(지번) 한림읍 동명리 1580-7,"영업시간 월,화,목,금,토,일 10:00 ~ 19:00",https://place.map.kakao.com/298902686?openhour=1,070-8865-0444,no_link,https://instagram.com/daramg_siktak
도프커피,커피전문점,4.3,47건,https://place.map.kakao.com/1132078874#comment,리뷰 94,https://place.map.kakao.com/1132078874#review,"경기 양평군 용문면 용문로 333 1,2층",(지번) 용문면 다문리 705-8,영업시간 수~일 11:00 ~ 19:00,https://place.map.kakao.com/1132078874?openhour=1,031-774-0705,no_link,https://www.instagram.com/doap_coffee
미도식당,한식,3.2,27건,https://place.map.kakao.com/414226324#comment,리뷰 153,https://place.map.kakao.com/414226324#review,부산 기장군 일광읍 문오성길 441,(지번) 일광읍 신평리 47-2,영업시간 화~일 11:30 ~ 19:00 · 브레이크타임 화~금 15:00 ~ 17:00,https://place.map.kakao.com/414226324?openhour=1,051-727-6112,no_link,https://instagram.com/mido_gijang
야생화일기,카페,4.2,26건,https://place.map.kakao.com/465898579#comment,리뷰 120,https://place.map.kakao.com/465898579#review,경북 경주시 강동면 오금큰길 332-6 1층,(지번) 강동면 왕신리 1270-3,화~일 11:00 ~ 21:00,https://place.map.kakao.com/465898579?openhour=1,054-761-5556,no_link,https://instagram.com/wildflowerdiary_official
행궁파티,카페,4.1,7건,https://place.map.kakao.com/1296852724#comment,리뷰 38,https://place.map.kakao.com/1296852724#review,경기 수원시 팔달구 화서문로31번길 22,(지번) 장안동 109-1,"월,목,금,토,일 12:00 ~ 22:00",https://place.map.kakao.com/1296852724?openhour=1,상세보기,https://place.map.kakao.com/1296852724,
제제,중국요리,3.2,71건,https://place.map.kakao.com/1158002348#comment,리뷰 207,https://place.map.kakao.com/1158002348#review,서울 성동구 서울숲길 46-1,(지번) 성수동1가 668-1,매일 11:30 ~ 21:00 · 브레이크타임1 월~금 14:30 ~ 17:30,https://place.map.kakao.com/1158002348?openhour=1,070-8833-6999,no_link,https://www.instagram.com/jeje_modernchinese
N436,카페,3.6,36건,https://place.map.kakao.com/917135405#comment,리뷰 268,https://place.map.kakao.com/917135405#review,경남 거제시 일운면 거제대로 1764,(지번) 일운면 망치리 436,영업시간 매일 11:00 ~ 19:00,https://place.map.kakao.com/917135405?openhour=1,상세보기,https://place.map.kakao.com/917135405,https://instagram.com/maangchi436
1997영국집,디저트카페,3.3,23건,https://place.map.kakao.com/390245968#comment,리뷰 147,https://place.map.kakao.com/390245968#review,경남 창원시 성산구 외동반림로248번길 25 1층,(지번) 용호동 53-5,매일 11:00 ~ 22:00,https://place.map.kakao.com/390245968?openhour=1,055-286-1997,no_link,https://www.instagram.com/1997.roasters/
스완네,카페,4.3,14건,https://place.map.kakao.com/1621069822#comment,리뷰 216,https://place.map.kakao.com/1621069822#review,대구 수성구 동대구로80길 73 영업중,(지번) 범어동 131-7,매일 12:00 ~ 22:00,https://place.map.kakao.com/1621069822?openhour=1,053-742-9794,no_link,
아보고가,디저트카페,(30),후기 미제공,no_link,리뷰 358,https://place.map.kakao.com/1684481940#review,경기 김포시 하성면 월하로 977-19,(지번) 하성면 전류리 15-8,월~금 10:00 ~ 20:30,https://place.map.kakao.com/1684481940?openhour=1,031-996-9780,https://place.map.kakao.com/1684481940,https://www.instagram.com/abogoga_official
스시심,"초밥,롤",3.8,41건,https://place.map.kakao.com/1128490425#comment,리뷰 82,https://place.map.kakao.com/1128490425#review,부산 금정구 금강로 279-1,(지번) 장전동 419-7,화~일 12:00 ~ 21:30 · 브레이크타임 화~일 15:00 ~ 17:00,https://place.map.kakao.com/1128490425?openhour=1,상세보기,https://place.map.kakao.com/1128490425,https://app.catchtable.co.kr/ct/shop/sushi_sim
1인사무소,카페,(30),후기 미제공,no_link,리뷰 137,https://place.map.kakao.com/328130488#review,부산 수영구 광남로 59 2층,(지번) 남천동 31-2,영업시간 월~토 12:00 ~ 18:00,https://place.map.kakao.com/328130488?openhour=1,0507-1399-1236,https://place.map.kakao.com/328130488,https://www.instagram.com/4mooso/
소친친,퓨전요리,3.7,80건,https://place.map.kakao.com/26628758#comment,리뷰 126,https://place.map.kakao.com/26628758#review,서울 종로구 대명길 39-9 2층,(지번) 명륜4가 62,Hidden Link,https://map.kakao.com/?q=%EB%85%B8%ED%82%A4%EC%A6%88%EC%A1%B4,02-742-8594,https://place.map.kakao.com/26628758,http://blog.naver.com/xiaoqinqin
라겟옴,디저트카페,4.3,17건,https://place.map.kakao.com/751276294#comment,리뷰 253,https://place.map.kakao.com/751276294#review,대구 남구 앞산순환로87길 51,(지번) 대명동 560-27,"월,목,금,토,일 12:00 ~ 21:00",https://place.map.kakao.com/751276294?openhour=1,053-628-8877,no_link,https://www.instagram.com/laget_om/
카페로우,디저트카페,3.1,17건,https://place.map.kakao.com/1373124611#comment,리뷰 202,https://place.map.kakao.com/1373124611#review,충남 당진시 남부로 453-32,(지번) 수청동 2-1,매일 10:00 ~ 22:00,https://place.map.kakao.com/1373124611?openhour=1,상세보기,https://place.map.kakao.com/1373124611,
오봉베르,"제과,베이커리",4.3,81건,https://place.map.kakao.com/27346437#comment,리뷰 178,https://place.map.kakao.com/27346437#review,경기 수원시 영통구 센트럴파크로127번길 142 지하1층,(지번) 이의동 1319-5,매일 10:00 ~ 19:30,https://place.map.kakao.com/27346437?openhour=1,상세보기,https://place.map.kakao.com/27346437,
넉아웃,카페,3.2,16건,https://place.map.kakao.com/897675548#comment,리뷰 247,https://place.map.kakao.com/897675548#review,부산 부산진구 동천로 91-2,(지번) 부전동 168-279,매일 11:00 ~ 02:00,https://place.map.kakao.com/897675548?openhour=1,051-818-0519,no_link,
그리다부부,커피전문점,4.6,42건,https://place.map.kakao.com/68040813#comment,리뷰 176,https://place.map.kakao.com/68040813#review,부산 중구 광복중앙로 35-1 1층,(지번) 대청동2가 23-2,화~일 12:00 ~ 21:30,https://place.map.kakao.com/68040813?openhour=1,010-7516-0484,no_link,https://www.instagram.com/bubucoffee.kr/
카페그루비,카페,4.0,50건,https://place.map.kakao.com/25506407#comment,리뷰 118,https://place.map.kakao.com/25506407#review,경기 수원시 영통구 센트럴파크로127번길 148 지하1층,(지번) 이의동 1319-7,매일 12:00 ~ 22:00,https://place.map.kakao.com/25506407?openhour=1,031-214-1288,no_link,https://instagram.com/cafe_groovy
옥천귀뚜라미,한식,4.5,21건,https://place.map.kakao.com/859191620#comment,리뷰 94,https://place.map.kakao.com/859191620#review,전남 순천시 저전1길 19 1층,(지번) 저전동 121-6,화~토 11:30 ~ 20:30 · 브레이크타임 화~토 14:30 ~ 18:00,https://place.map.kakao.com/859191620?openhour=1,061-902-6948,no_link,https://instagram.com/aloha_okcheon
카페 바라보다,카페,3.2,17건,https://place.map.kakao.com/1295527407#comment,리뷰 53,https://place.map.kakao.com/1295527407#review,경기 남양주시 조안면 다산로 566-3 카페 바라보다,(지번) 조안면 능내리 132-4,"영업시간 월,화,수,목,금,일 11:00 ~ 19:00",https://place.map.kakao.com/1295527407?openhour=1,031-576-0007,no_link,https://www.baraboda.com/
